reviewId,hotelId,hotelName,source,submittedAt,checkInMonth,reviewer_name,reviewer_tier,reviewer_ipLocation,travelType,roomName,language,overallRating,ratingLabel,subRatings,reviewText,reviewTextTranslated,recommends,usefulCount,imagesCount,ownerResponse_text
1987243638,344983,Galaxy Hotel,trip,2026-06-16T22:46:35,2026-06,,Rising review star,,Family,Deluxe City Twin,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,一直就很想來澳門銀河酒店，可惜的是我們入住當天雷雨警報，沒辦法玩水。期待落空。但住在銀河真的很便利，裡面吃喝玩樂都有，持澳門航空登機證還可以換取很多折扣及贈品，要去威尼斯人，大笨鐘，巴黎人～都很方便，睡一晚隔天還可以去官也街。很近。最難忘的是銀河飯店的床真的很好睡，房間很漂亮，乾淨，服務超級好。真的是五星級服務，帶著小孩入住還免費贈送小孩滔滔拖鞋，滔滔帳篷及滔滔娃娃。我的小孩開心的說銀河最好玩～^_^哈哈。下次再去澳門一定還會再入住銀河。我個人最喜歡的是還可以選擇你要的枕頭，我這次選擇了薰衣草睡眠枕還送枕頭噴霧 。都免費的，真的是物超所值。,"I've always wanted to stay at the Galaxy Macau, but unfortunately, there was a thunderstorm warning on the day we checked in, so we couldn't enjoy the water activities. It was a bit disappointing. However, staying at Galaxy is incredibly convenient; there are plenty of dining, entertainment, and shopping options available. Plus, if you show your Air Macau boarding pass, you can get many discounts and free gifts. It's also super easy to get to the Venetian, Big Ben, and Parisian from here. After a good night's sleep, we could even pop over to Rua do Cunha the next day, which is very close by. What I'll remember most is how incredibly comfortable the beds are at the Galaxy hotel. The room was beautiful and clean, and the service was absolutely fantastic. Truly five-star service! Since we were traveling with kids, they even gave us complimentary 'Toto' slippers, a 'Toto' tent, and a 'Toto' doll for them. My kids were thrilled and said Galaxy was the most fun! ^_^ Haha. I will definitely stay at Galaxy again next time I visit Macau. What I personally loved most was being able to choose my own pillow. This time, I picked the lavender sleep pillow and even received a free pillow mist. All complimentary, truly excellent value for money.",True,0,13,尊敬的客人，感謝您對我們的正面評價。我們很高興聽到您在酒店有很棒的體驗。我們希望在不久的將來再次為您們服務。 此致銀河酒店。
1975391399,344983,Galaxy Hotel,trip,2026-06-07T02:27:00,2026-06,Songsongshiyizhikeaidedaxiabae,Review Specialist,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,帶寶寶來澳門玩了6次，第一次入住銀河酒店。銀河酒店太難定了，這次終於定到了兩晚。體驗真的太太太太好了！寶寶住到不想退房。每天小孩可以去二樓童樂坊玩倆小時，還可以全天去天浪淘園玩無限次。水上樂園的造浪池太好玩了，水質很乾凈，還可以挖沙。漂流也很好玩！照相也好好看啊。服務員態度也很好，每天還開夜床，補充房間需要的東西。提前還給寶寶準備了帳篷，玩具，床圍欄。衞生也搞的很乾凈。在銀河吃飯也很方便，翠華等餐廳都很好吃。購物也很方便。都不用出酒店了。大堂的大鑽石表演也很好看，寶寶每天都要看好多遍。下次來還要住銀河酒店。十分推薦！,"This was our first time staying at Galaxy Macau, even though we've brought our baby to Macau 6 times. It's usually so hard to get a room here, so we were thrilled to finally book two nights. And the experience? Absolutely amazing! Our baby didn't want to check out. Every day, the kids could enjoy the Kids' Club on the second floor for two hours, and we had unlimited access to the Grand Resort Deck all day long. The wave pool at the water park was so much fun, and the water was really clean – plus, you could even dig in the sand! The lazy river was also a blast, and it made for some great photos. The staff were wonderful; they even did turn-down service every evening and replenished everything we needed in the room. They had thoughtfully prepared a tent, toys, and a bed rail for our baby in advance. The room was also spotlessly clean. Dining at Galaxy was very convenient, with places like Tsui Wah offering delicious food. Shopping was also super easy. We didn't even need to leave the hotel! The Diamond Show in the lobby was captivating; our baby wanted to watch it multiple times a day. We'll definitely be staying at Galaxy Macau again next time. Highly recommended!",True,1,12,尊敬的客人，感謝您對我們的正面評價。聽到您與寶寶在童樂坊和天浪淘園玩得盡興，並對我們的娛樂設施感到滿意，這讓我們深受鼓舞。我們也很高興您認可我們提前安排的貼心服務，您的推薦是對我們最大的肯定。我們會繼續努力，期待您下次到訪澳門時再次入住銀河酒店！此致銀河酒店
1981298481,344983,Galaxy Hotel,trip,2026-06-12T01:10:37,2026-06,Gaomingguangsheng,Review Specialist,,Business traveller,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,房間配了茶具很好，環境服務都滿意,"The room came with a great tea set, and I was very happy with both the environment and the service.",True,1,3,尊敬的客人，感謝您對我們的正面評價。得知您對房間茶具的配置以及整體環境和服務都感到滿意，我們倍感欣慰。您的認可是我們不斷提升的動力。我們會繼續努力，期待您下次到訪澳門時再次入住銀河酒店！此致銀河酒店
1979357898,344983,Galaxy Hotel,trip,2026-06-10T10:14:43,2026-06,,Rising review star,,Travelling with friends,Deluxe City King,th,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,"ดีมาก ดีทุกอย่าง ประทับใจ จะกลับไปอีก ใส่ใจทุกอย่าง
ดูแลดีมาก","Excellent! Everything was great, I'm very impressed and will definitely return. They paid attention to every detail and took great care of us.",True,1,1,"Dear Valued Guest,Thank you for your positive feedback. We are delighted to hear that you had a wonderful experience at our hotel and that you satisfied with our facilities. Your comments are truly our motivation!We look forward to the pleasure of serving you again in the near future.Yours sincerely,Galaxy Hotel"
1988629337,344983,Galaxy Hotel,trip,2026-06-18T07:41:54,2026-06,Ricky into the clouds,Review Specialist,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,超棒的酒店體驗，交通方便，周邊吃的也很多，酒店的天樂淘園太好玩了，小朋友根本玩不夠，服務態度超好，酒店也保養的很好很乾凈，還有下一次！,"Fantastic hotel experience! It's conveniently located with plenty of food options nearby. The hotel's Tianletaoyuan (kids' club/play area) was a huge hit; my kids absolutely loved it and couldn't get enough. The service was excellent, and the hotel itself is very well-maintained and clean. We'll definitely be back!",True,0,2,尊敬的客人，非常感謝您對我們的正面評價。得知您對交通便利、周邊美食豐富以及天浪淘園的歡樂氛圍都感到滿意，我們倍感欣慰。尤其是小朋友在天樂淘園玩得盡興，這是我們最希望看到的畫面。我們會繼續努，期待您下次到訪澳門時再次選擇銀河酒店！此致 銀河酒店
1941359475,344983,Galaxy Hotel,trip,2026-05-08T20:26:09,2026-05,,Rising review star,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,錯峯出行還是選擇了澳門銀河，辦理入住的Ella姐姐人超級好！根據我的實際情況辦理入住要求都可喲儘量滿足並有耐心的解答問題！還送了寶寶畫冊準備了帳篷，為銀河打call，遛娃天花板！,"Traveling during the off-peak season, I still chose Galaxy Macau. Sister Ella, who handled my check-in, was super nice! She really tried her best to accommodate my check-in requests based on my actual situation and patiently answered all my questions! She even gave my child a drawing book and prepared a tent. Big shout-out to Galaxy Macau, it's the ultimate place for kids!",True,1,4,尊敬的客人，感謝您選擇入住澳門銀河酒店 ，很高興聽到您與小朋友入住愉快並享受在童樂坊的玩耍時光。我們致力保持提供予不同年齡層的客人用品和提供的服務設施達到五星級超凡的水準，希望在不久的將來能夠再次為您服務。 此致 銀河酒店
1944272917,344983,Galaxy Hotel,trip,2026-05-11T15:38:23,2026-05,,Review Specialist,,Couple,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,一個非常適合度假的酒店，什麼都不做躺在那裡也好舒服！服務人員都非常有禮貌，晚上出去吃個自助餐回來，也幫我收拾了一次房間，還細心地給我的眼睛提供了眼鏡布，服務超棒！！下次還來！,"This hotel is perfect for a vacation, so comfortable even just lounging around and doing nothing! The staff were all incredibly polite. After I went out for the buffet dinner, they even tidied up my room again and thoughtfully provided a lens cloth for my glasses. The service was superb! I'll definitely be back!",True,0,3,尊敬的客人: 感謝您選擇入住澳門銀河酒店。我們致力保持提供予不同年齡層的客人用品和提供的服務設施達到五星級超凡的水準，希望在不久的將來能夠再次為您服務。 此致 銀河酒店
1944118297,344983,Galaxy Hotel,trip,2026-05-11T12:55:39,2026-05,,Review Specialist,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,銀河一直被推薦終於五一定到兩晚，想給超五星好評啊！入住就有人在大堂迎接，服務到位舒服，也按要求給了房間，也有帳篷和伴手禮，小朋友非常的開心！房間很大而且一塵不染，第一次見到酒店的玻璃沒有一絲水漬，桌面和窗台沒有一絲灰塵。第二天回房間，發現打掃的阿姨會把你所有的東西整理的整整齊齊，電線還用帶子綁好，絕了。另外天浪淘園和童樂坊也很好玩服務也很好，碰到工作人員都很熱情，下次來還住銀河！,"Galaxy has always been highly recommended, and I finally managed to book two nights for the May Day holiday – I want to give it a super five-star review! From the moment we checked in, there were staff welcoming us in the lobby, and the service was excellent and comfortable. They even gave us the room we requested, complete with a tent and welcome gifts, which made the kids incredibly happy! The room was very spacious and spotless. It's the first time I've seen a hotel with not a single water stain on the glass, and no dust on the tabletops or windowsills. When we returned to our room on the second day, we found that the cleaning staff had neatly organized all our belongings, even tying up the wires – absolutely amazing! Plus, the Grand Resort Deck and the Kids' Club were also a lot of fun, and the service was great. All the staff we encountered were very enthusiastic. I'll definitely stay at Galaxy again next time!",True,1,9,尊敬的客人: 感謝您選擇入住澳門銀河酒店 ，很高興聽到您與小朋友入住愉快並享受在天浪淘園和童樂坊的玩耍時光。我們致力保持提供予不同年齡層的客人用品和提供的服務設施達到五星級超凡的水準，希望在不久的將來能夠再次為您服務。 此致 銀河酒店
1936434015,344983,Galaxy Hotel,trip,2026-05-05T16:32:27,2026-04,,Review Specialist,,Family,Deluxe City Twin,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,"奧門銀河酒店
2大2小天浪淘園門票:
酒店是帶寶寶省心的地方，吃喝玩樂一條龍全搞定，活動豐富多彩，住的省心玩的開心，是去奧門的最佳選擇。","Galaxy Macau Hotel

2 adults and 2 children, Grand Resort Deck tickets:

This hotel is a hassle-free place when traveling with kids. Everything from dining to entertainment is taken care of in one spot. The activities are diverse and plentiful, ensuring a worry-free stay and a joyful experience. It's truly the best choice for a trip to Macau.",True,1,3,尊敬的客人，感謝您對我們的正面評價。我們很高興聽到您在酒店有很棒的體驗。我們希望在不久的將來再次為您們服務。 此致銀河酒店
1942451739,344983,Galaxy Hotel,trip,2026-05-09T20:35:40,2026-04,,Review Specialist,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,"澳門銀河酒店簡直是親子酒店天花板了。屬於全家人都一致特別滿意的酒店  

設施：跟工作人員説有帶了孩子之後工作人員佈置給安裝了帳篷床還送了很多很多小東西給小朋友不衹有親子的洗漱用品，還有娃娃拖鞋等等各種的東西，包括提出説要裝一個床位也很快的就幫忙裝好了，這裏感謝當時第一天接待的工作人員小哥
衞生：衞生方面也非常非常的滿意，客房服務人員感覺一天不止一掃，感覺一天都會打掃三次，不止是仔細地幫我們把物品擺好吧，垃圾清理更重要的是還對小朋友非常友好，還送了一些點心巧克力  
環境：免費的天浪桃源讓大人和小孩都感受到無限樂趣，即使是呆在酒店，一天也不會覺得無聊 另外就是酒店底下就是
服務：服務更是五星好評","Galaxy Macau Hotel is simply the best family-friendly hotel! My whole family was extremely satisfied with our stay.

**Facilities:** After telling the staff we had a child, they set up a tent bed and provided so many little extras for the kids, not just child-friendly toiletries, but also doll slippers and various other items. We also requested an extra bed, and they promptly set it up. A big thank you to the staff member who checked us in on the first day!

**Hygiene:** We were also very, very satisfied with the cleanliness. It felt like the housekeeping staff cleaned more than once a day, perhaps three times. Not only did they meticulously arrange our belongings and clear the trash, but they were also incredibly friendly to the children, even leaving them some snacks and chocolates.

**Environment:** The complimentary Grand Resort Deck offers endless fun for both adults and children. Even staying at the hotel all day, you won't get bored. Plus, the hotel is located directly above [missing information, perhaps a mall or attraction].

**Service:** The service definitely deserves five stars!",True,0,2,尊敬的客人:感謝您選擇入住澳門銀河酒店 ，很高興聽到您與小朋友入住愉快並享受在天浪淘園的玩耍時光。我們致力保持提供予不同年齡層的客人用品和提供的服務設施達到五星級超凡的水準，希望在不久的將來能夠再次為您服務。 此致 銀河酒店
1924979225,344983,Galaxy Hotel,trip,2026-04-26T19:33:19,2026-04,,Rising review star,,Family,Deluxe City Twin,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,非常滿意此次銀河酒店之旅 我和家人一行四人長者小孩都得到了非常好的待遇 提前寫了郵件給我們兩個房間安排在了同樓層相鄰 提供了嬰兒圍欄 小童洗漱用品 小帳篷等 十分貼心 孩子玩的非常開心 酒店的環境設施都很好 天浪淘園小童樂園都非常親子好玩 服務人員態度都很好 接待時送了畫冊給孩子 下次還會再來銀河,"Extremely satisfied with our stay at the Galaxy Hotel. My family of four, including seniors and a child, received excellent treatment. I had emailed in advance, and they arranged our two rooms on the same floor, next to each other. They also provided a baby playpen, children's toiletries, and a small tent, which was incredibly thoughtful. The kids had a fantastic time. The hotel's environment and facilities are great, and the Grand Resort Deck and Kids' Club are very family-friendly and fun. The staff were all very polite and even gave the children coloring books during check-in. We will definitely be back to Galaxy!",True,1,4,尊敬的客人:感謝您選擇入住澳門銀河酒店 ，很高興聽到您與小朋友入住愉快並享受在天浪淘園和童樂坊的玩耍時光。我們致力保持提供予不同年齡層的客人用品和提供的服務設施達到五星級超凡的水準，希望在不久的將來能夠再次為您服務。 此致 銀河酒店
1914015774,344983,Galaxy Hotel,trip,2026-04-17T18:23:01,2026-04,,Review Specialist,,Solo traveller,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,"入住時想住回像上次一樣看到浪池的房間，前台經理和服務人員們花了一點時間給我安排到了。 想遲點退房，酒店也答應了。 這裏沒有點經理和服務人員的名字以為他們每個服務態度都非常好。 
所以説一家好酒店不必送什麼早餐，禮物，禮卷等第。有時酒店送，客人根本用不上。酒店給客人最好的禮物就是盡心儘可能，去滿足客人的要求。 如果你常去旅遊，酒店人員有沒有盡心，你會看的出來。
銀河就是一家盡心盡力的好酒店。 會再入住。","When checking in, I wanted the same wave pool view room I had last time, and the front desk manager and staff took some time to arrange it for me. The hotel also agreed to my late check-out request. I'm not naming specific managers or staff because every single one of them provided excellent service.

This goes to show that a good hotel doesn't need to offer free breakfast, gifts, or vouchers. Sometimes, guests don't even use what's offered. The best gift a hotel can give its guests is to genuinely try their best to meet their requests. If you travel frequently, you'll be able to tell if hotel staff are truly dedicated.

Galaxy is a great hotel that goes above and beyond. I will definitely stay here again.",True,0,4,尊敬的客人，感謝您對我們的正面評價。我們很高興聽到您在酒店有很棒的體驗並對我們的服務留下深刻的印象。我們希望在不久的將來再次為您們服務。 此致銀河酒店。
1906151533,344983,Galaxy Hotel,trip,2026-04-10T22:14:51,2026-04,,Review Expert,,Booked for others,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,給老闆朋友預訂的，地理位置優越，服務態度非常到位，符合他們要求，吃喝玩樂一應俱全，朋友們都説好，下次還會再預訂,"I booked this for my boss's friends. The location is excellent, and the service was impeccable, perfectly meeting their needs. Everything they could want for dining, entertainment, and activities was right there. My friends all raved about it and said they'd definitely book again next time.",True,0,4,尊貴的客人，  非常感謝您選擇銀河酒店並分享您的入住體驗！很高興得知您對酒店的地理位置、服務態度以及豐富的餐飲娛樂設施都感到滿意，並且您的朋友們也給予了高度評價。我們會繼續努力，提供更貼心、更完善的服務，期待您下次再次預訂，享受更加愉快的住宿體驗。此致 銀河酒店
1976048379,344983,Galaxy Hotel,trip,2026-06-07T17:33:53,2026-04,Daiwangpaolaipaoqu,Review Specialist,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,在銀河的「童」樂坊，我們可以免費使用這個「童」樂坊。每間房最多容納兩位成人和兩位小童，玩水及各種娛樂設施超級推薦！下次還會再來玩，就是訂房有點難,"At the Galaxy Kid's Club, we get free access to all the fun! Each room accommodates up to two adults and two children, and I highly recommend the water park and other entertainment facilities! We'll definitely be back, though booking a room can be a bit tricky.",True,0,3,尊敬的客人，感謝您對我們的正面評價。很高興得知您和家人享受了我們的各種娛樂設施並且體驗滿意，得到您的認可我們感到非常的欣慰。我們會繼續努力，期待您下次到訪澳門時再次入住銀河酒店！此致銀河酒店
1908369459,344983,Galaxy Hotel,trip,2026-04-12T23:28:04,2026-04,,Rising review star,,Family,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,"這次住房體驗很好，Teresa服務很好，笑容甜美，她給我們介紹了房間的配套，特別是可以挑選自己喜歡的枕頭，終於可以美美地睡上一覺，不會第二天起來肩頸疼。寄存行李時也剛好遇到Teresa，真的是太有緣了。
「童」在銀河的「童」樂坊和沖浪小孩特別喜歡，説下次再繼續住這裏","Our stay was wonderful, and Teresa provided excellent service with a sweet smile. She gave us a detailed introduction to the room's amenities, especially the pillow menu, which allowed us to choose our preferred pillows and finally get a great night's sleep without waking up with neck and shoulder pain. We even ran into Teresa again when checking our luggage, which felt like fate!

The kids absolutely loved the 'Kids' Club' at Galaxy and the surf activities. They said they definitely want to stay here again next time!",True,0,4,尊貴的客人，  非常感謝您選擇銀河酒店並分享您的入住體驗！很高興得知您在銀河酒店度過了愉快的時光，Teresa的甜美笑容和細緻服務讓您倍感温馨，特別是枕頭菜單的介紹幫助您找到合適的枕頭，享受了舒適的睡眠。能在寄存行李時再次遇見她，確實是非常有緣的時刻。我們也很高興聽到小朋友們在童樂坊和沖浪活動中玩得開心。您的肯定是我們團隊最大的動力，我們期待再次歡迎您和家人回到銀河酒店，創造更多美好的回憶。此致 銀河酒店
1897082519,344983,Galaxy Hotel,trip,2026-04-03T17:22:24,2026-03,,Rising review star,,Travelling with friends,Deluxe City King,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,"衞生：乾淨整潔
環境：酒店位置好，去哪都方便
服務：服務態度好
免費使用「童」在銀河的「童」樂坊，每房限兩位成人及兩位小童","Hygiene: Clean and tidy
Environment: The hotel is well-located, convenient for getting around.
Service: Good service attitude.
Free access to the 'Tong Le Fang' (Children's Playroom) at 'Tong Zai Yin He' (Kids in the Galaxy), limited to two adults and two children per room.",True,0,3,尊敬的客人，感謝您選擇入住澳門銀河酒店，很高興聽到您與小朋友入住愉快並享受在童樂坊的玩耍時光。我們致力保持提供予不同年齡層的客人用品和提供的服務設施達到五星級超凡的水準，希望在不久的將來能夠再次為您服務。 此致 銀河酒店
1890903205,344983,Galaxy Hotel,trip,2026-03-29T14:23:10,2026-03,Yanzhaofeigeruhaichao,Review Specialist,,Family,Deluxe City Twin,zh,5,Outstanding,Cleanliness: 5.0; Location: 5.0; Service: 5.0; Facilities: 5.0,房間正對園景，景觀很好，安靜舒適。大堂鑽石秀很驚艷，有可愛的小姑娘帶我們去房間，主動幫我們拍照。早餐從七點到下午三點，半自助式，有西式早餐，也有粵式早點，還有川味擔擔麪，可以幫嗜辣人士解解饞。,"Our room faced the garden, offering a lovely view, and it was quiet and comfortable. The Diamond Show in the lobby was stunning, and a sweet young lady escorted us to our room and even offered to take our photos. Breakfast is served from 7 AM to 3 PM and is semi-buffet style. They have Western breakfast, Cantonese dim sum, and even Sichuan Dandan noodles, which is a great option for those who love spicy food.",True,1,3,尊敬的客人，非常感謝您抽出時間分享您的入住體驗。感謝您對我們前台服務的認可，也很高興看到您喜歡我們的早餐。得到您的肯定讓我們倍感欣慰。我們會繼續努力，期待您下次到訪澳門時再次選擇入住銀河酒店！此致 銀河酒店
